Adult_IP	Sup_IP	LTR_type	family	HOG	cons	strand	length	dt	Adult_IP_rpkm	Sup_IP_rpkm	sim_LTR	length_centred
soloLTR_As:1446	7.71107048440727	4.44773731996312	soloLTR	rnd-1_family-977	N0.HOG0000010_OG0000006_n0	HC	As	2.89597473235906	0	3.31278707554183	2.53359470710828	soloLTR	-0.0704823927498763
soloLTR_As:1455	107.046834720732	62.5901970843146	soloLTR	rnd-5_family-3633	no_RT	Other	As	2.72997428569956	0	7.6405734729554	6.86738533032544	soloLTR	-0.236482839409386
int_As:1472	82.7817360299141	25.2117619927368	int	rnd-5_family-7032	no_RT	Other	As	2.47421626407626	0	8.11975606502123	6.40887900448834	int	-0.492240861032686
int_As:1473	56.0423894932577	10.7964261248006	int	rnd-5_family-7032	no_RT	Other	As	2.82801506422398	0	6.38257256063089	4.0183159583365	int	-0.138442060884964
LTR_As:1474	83.616865553027	23.4432059028007	LTR	rnd-5_family-7032	no_RT	Other	As	2.55509444857832	0	7.86554700241162	6.03572536118219	LTR	-0.411362676530622
int_As:1481	8.00826040120686	23.9268468718579	int	rnd-5_family-120	N0.HOG0000176_OG0000162_-	LC	As	3.71222866961954	1	0.655046152581218	2.2211484288154	int	0.745771544510594
LTR_As:1499	8.52865775923257	4.967201934535	LTR	rnd-3_family-2400	N0.HOG0000003_OG0000003_n0	C	As	2.95712819767681	0	3.2530891129355	2.48609520509257	LTR	-0.00932892743212799
int_As:1500	23.312536796423	9.91358861971354	int	rnd-3_family-2400	N0.HOG0000003_OG0000003_n0	C	As	3.73134697554595	0	2.12028709195716	0.895710602250951	int	0.764889850437014
LTR_As:1521	24.7739862214192	6.2843092432323	LTR	rnd-5_family-461	N0.HOG0000010_OG0000006_n0	HC	As	2.69635638873333	0	5.64577303225888	3.6852602724725	LTR	-0.270100736375609
int_As:1538	23.9210863477827	10.6907151445496	int_fl	rnd-1_family-651	N0.HOG0000016_OG0000008_n0	HC	As	3.75823040845775	0	2.06799495891204	0.914147041089408	int	0.791773283348808
